GFPipeID,PipeName,GFLocID,GF_LocID_Tag,LocID,Loc,GF_LocName,LocName,GF_FacilityType,GF_FacilityTypeGroup,ReportedFacilityType,LocSegment,LocZone,State,County,InterconnectingEntity,UpdatedTime,PartitionKey,RowKey
120,"Texas Eastern Transmission, LP",1200076025,,0076025,76025,,"Atmos Energy, TN (B/D 73025)",,,WHD,,1,TN,WILLIAMSON,,2026-03-23T09:37:47.898642,Enbridge,1200076025
116,"Southeast Supply Header, LLC",1160083013,,0083013,83013,,"Gulf South, La",,,INT,,,LA,MADISON,,2026-03-23T09:37:47.898642,Enbridge,1160083013
120,"Texas Eastern Transmission, LP",1200075628,,0075628,75628,,BRIDGELINE - TALLYHO (D72628/R76628),,,INT,,ELA,LA,IBERVILLE,,2026-03-23T09:37:47.898642,Enbridge,1200075628
100,"Algonquin Gas Transmission, LLC",1000000030,,0000030,30,,"Guilford (NEW HAVEN,CT)",,,LDC,,,CT,NEW HAVEN,,2026-03-23T09:37:47.898642,Enbridge,1000000030
105,"East Tennessee Natural Gas, LLC",1050059332,,0059332,59332,,"Diversified Southern Production LLC, Dickenson #4, Dickinson Count",,,WHD,,,VA,DICKENSON,,2026-03-23T09:37:47.898642,Enbridge,1050059332
116,"Southeast Supply Header, LLC",1160083108,,0083108,83108,,TGP - (Rec - 83008),,,INT,,,MS,FORREST,,2026-03-23T09:37:47.898642,Enbridge,1160083108
116,"Southeast Supply Header, LLC",1160083105,,0083105,83105,,Texas Eastern Delivery,,,INT,,,MS,COPIAH,,2026-03-23T09:37:47.898642,Enbridge,1160083105
120,"Texas Eastern Transmission, LP",1200072926,,0072926,72926,,"Kent. Util. - Garrard Co., KY",,,END,,2,KY,GARRARD,,2026-03-23T09:37:47.898642,Enbridge,1200072926
105,"East Tennessee Natural Gas, LLC",1050059168,,0059168,59168,,PCUD LAFOLLETTE,,,LDC,,,TN,ROANE,,2026-03-23T09:37:47.898642,Enbridge,1050059168
120,"Texas Eastern Transmission, LP",1200073233,,0073233,73233,,Duke Energy Indiana,,,END,,2,OH,BUTLER,,2026-03-23T09:37:47.898642,Enbridge,1200073233
120,"Texas Eastern Transmission, LP",1200073294,,0073294,73294,,"Dynegy- Ontelaunee, PA",,,END,,3,PA,BERKS,,2026-03-23T09:37:47.898642,Enbridge,1200073294
120,"Texas Eastern Transmission, LP",1200073902,,0073902,73902,,Gas Utilities District #1 Spillman Delivery State Hwy 421;W.Felici,,,LDC,,ELA,LA,WEST FELICIANA,,2026-03-23T09:37:47.898642,Enbridge,1200073902
115,"NEXUS Gas Transmission, LLC (U.S.)",11500N1009,,00N1009,N1009,,Nexus/North Coast Transmision Del,,,OTH,,M1,OH,LORAIN,,2026-03-23T09:37:47.898642,Enbridge,11500N1009
107,"Generation Pipeline, LLC",10700GP001,,00GP001,GP001,,PEPL MAUMEE,,,,,,,,,2026-03-23T09:37:47.898642,Enbridge,10700GP001
101,Bobcat Gas Storage,1010045405,,0045405,45405,,FLORIDA GAS - STORAGE (R-INJ 40405/D-WTD 40406),,,INT,,,LA,ST LANDRY,,2026-03-23T09:37:47.898642,Enbridge,1010045405
105,"East Tennessee Natural Gas, LLC",1050059197,,0059197,59197,,"Marion Natural Gas - Marion Co., Tn",,,LDC,,,TN,MARION,,2026-03-23T09:37:47.898642,Enbridge,1050059197
120,"Texas Eastern Transmission, LP",1200073417,,0073417,73417,,"Copano Processing - Houston Central / Colorado Co., TX (REC)",,,PLT,,STX,TX,COLORADO,,2026-03-23T09:37:47.898642,Enbridge,1200073417
105,"East Tennessee Natural Gas, LLC",1050059177,,0059177,59177,,OAK GROVE,,,LDC,,,TN,FRANKLIN,,2026-03-23T09:37:47.898642,Enbridge,1050059177
120,"Texas Eastern Transmission, LP",1200073871,,0073871,73871,,"Dominion Energy Transmission, Inc - TL 558/WV Rt. 2, MARSHALL CO.,",,,INT,,2,WV,MARSHALL,,2026-03-23T09:37:47.898642,Enbridge,1200073871
120,"Texas Eastern Transmission, LP",1200073816,,0073816,73816,,"Regency-Big Run /Twp. Road 964, Monroe Co.OH",,,WHD,,2,OH,MONROE,,2026-03-23T09:37:47.898642,Enbridge,1200073816
105,"East Tennessee Natural Gas, LLC",1050059084,,0059084,59084,,JAMESTOWN,,,LDC,,,TN,FENTRESS,,2026-03-23T09:37:47.898642,Enbridge,1050059084
100,"Algonquin Gas Transmission, LLC",1000000064,,0000064,64,,"Rhode Island Energy-BARRINGTON (PROVIDENCE,RI)",,,LDC,,,RI,PROVIDENCE,,2026-03-23T09:37:47.898642,Enbridge,1000000064
116,"Southeast Supply Header, LLC",1160083110,,0083110,83110,,FGT - Lucedale (Rec - 83010),,,INT,,,MS,GEORGE,,2026-03-23T09:37:47.898642,Enbridge,1160083110
105,"East Tennessee Natural Gas, LLC",1050059128,,0059128,59128,,UCG MILLER PARK,,,LDC,,,TN,SULLIVAN,,2026-03-23T09:37:47.898642,Enbridge,1050059128
120,"Texas Eastern Transmission, LP",1200070336,,0070336,70336,,"Union Elec. - Bloomfield, MO",,,LDC,,1,MO,STODDARD,,2026-03-23T09:37:47.898642,Enbridge,1200070336
115,"NEXUS Gas Transmission, LLC (U.S.)",11500N1001,,00N1001,N1001,,NEXUS/DTE MR04,,,INT,,M1,MI,WASHTENAW,,2026-03-23T09:37:47.898642,Enbridge,11500N1001
105,"East Tennessee Natural Gas, LLC",1050059188,,0059188,59188,,"Oak Ridge - ROANE CO., TN",,,LDC,,,TN,ROANE,,2026-03-23T09:37:47.898642,Enbridge,1050059188
105,"East Tennessee Natural Gas, LLC",1050059196,,0059196,59196,,"ROANOKE West Salem-Roanoke Co., VA",,,LDC,,,VA,ROANOKE,,2026-03-23T09:37:47.898642,Enbridge,1050059196
100,"Algonquin Gas Transmission, LLC",1000000230,,0000230,230,,"Marathon (MIDDLESEX,MA)",,,STR,,,MA,MIDDLESEX,,2026-03-23T09:37:47.898642,Enbridge,1000000230
120,"Texas Eastern Transmission, LP",1200073673,,0073673,73673,,"Williams/Shamrock N. Salem Rd, Fayette Co., PA.",,,WHD,,2,PA,FAYETTE,,2026-03-23T09:37:47.898642,Enbridge,1200073673
105,"East Tennessee Natural Gas, LLC",1050059245,,0059245,59245,,"Athens Utilities Board-CR 406 City Gate-McMinn Co., TN",,,LDC,,,TN,MC MINN,,2026-03-23T09:37:47.898642,Enbridge,1050059245
120,"Texas Eastern Transmission, LP",1200073875,,0073875,73875,,"MarkWest-Beallsville/Bolon Ridge Road, Monroe Co., OH",,,WHD,,2,OH,MONROE,,2026-03-23T09:37:47.898642,Enbridge,1200073875
120,"Texas Eastern Transmission, LP",1200075605,,0075605,75605,,STECKMAN RIDGE (73605D INJ/73606R WTD),,,STR,,3,PA,BEDFORD,,2026-03-23T09:37:47.898642,Enbridge,1200075605
105,"East Tennessee Natural Gas, LLC",1050059040,,0059040,59040,,MTUD ALTO,,,LDC,,,TN,GRUNDY,,2026-03-23T09:37:47.898642,Enbridge,1050059040
105,"East Tennessee Natural Gas, LLC",1050059151,,0059151,59151,,ETN CHATTANOOGA CHARLESTON,,,LDC,,,TN,BRADLEY,,2026-03-23T09:37:47.898642,Enbridge,1050059151
101,Bobcat Gas Storage,1010045407,,0045407,45407,,GULF SOUTH - STORAGE (R-INJ 40407/D-WTD 40408),,,INT,,,LA,ST LANDRY,,2026-03-23T09:37:47.898642,Enbridge,1010045407
115,"NEXUS Gas Transmission, LLC (U.S.)",11500N4307,,00N4307,N4307,,(DTE) ANR - WILLOW RUN - POOL RECEIPT,,,STA,,M1,MI,WASHTENAW,,2026-03-23T09:37:47.898642,Enbridge,11500N4307
106,"Garden Banks Gas Pipeline, LLC",10600G0002,,00G0002,G0002,,GB-783 MAGNOLIA (992103),,,GTH,,,OF,GARDEN BANKS,,2026-03-23T09:37:47.898642,Enbridge,10600G0002
120,"Texas Eastern Transmission, LP",1200073892,,0073892,73892,,Hilcorp Energy St. Charles Refuge Gathering-Backgate Road-Refugio,,,WHD,,STX,TX,REFUGIO,,2026-03-23T09:37:47.898642,Enbridge,1200073892
120,"Texas Eastern Transmission, LP",1200072158,,0072158,72158,,"Avery Gas - Chicksaw Co., MS",,,WHD,,1,MS,CHICKASAW,,2026-03-23T09:37:47.898642,Enbridge,1200072158
