GFPipeID,PipeName,GFLocID,GF_LocID_Tag,LocID,Loc,GF_LocName,LocName,GF_FacilityType,GF_FacilityTypeGroup,ReportedFacilityType,LocSegment,LocZone,State,County,InterconnectingEntity,UpdatedTime
120,"Texas Eastern Transmission, LP",1200076025,"",0076025,76025,"","Atmos Energy, TN (B/D 73025)","","",WHD,"",1,TN,WILLIAMSON,"",2026-03-23T09:41:40.296409
100,"Algonquin Gas Transmission, LLC",1000000050,"",0000050,00050,"","Pomfret (WINDHAM,CT)","","",LDC,"","",CT,WINDHAM,"",2026-03-23T09:41:40.296409
100,"Algonquin Gas Transmission, LLC",1000000077,"",0000077,00077,"","DEFCO (NEW HAVEN,CT)","","",LDC,"","",CT,NEW HAVEN,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200079618,"",0079618,79618,"","ZONE M2 30"" PAL POINT OF TRANSACTION","","",VIR,"",2,IN,POSEY,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200070042,"",0070042,70042,"","Union Elec -Cape Girardeau, MO","","",LDC,"",1,MO,SCOTT,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200072950,"",0072950,72950,"","Aptian Gas Corp., K.W. Schreiner #1 - Live Oak Co., TX","","",WHD,"",STX,TX,LIVE OAK,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200071425,"",0071425,71425,"","Morganza, LA","","",LDC,"",ELA,LA,POINTE COUPEE,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200073076,"",0073076,73076,"","Atmos Energy - Columbia, TN","","",LDC,"",1,TN,MAURY,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200070217,"",0070217,70217,"","GULF SOUTH PIPELINE COMPANY- KOSCIUSKO,  MS","","",INT,"",1,MS,ATTALA,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200070539,"",0070539,70539,"","S.I.G. & Elec -Ft. Branch, IN","","",LDC,"",2,IN,GIBSON,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200073721,"",0073721,73721,"","PSEG-Bayonne, Hudson Co., NJ","","",LDC,"",3,NJ,HUDSON,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200079665,"",0079665,79665,"","M1/M2 30"" ILT POINT","","",STA,"",ZB,TN,CLAY,"",2026-03-23T09:41:40.296409
100,"Algonquin Gas Transmission, LLC",1000000085,"",0000085,00085,"","Bristol (HARTFORD,CT)","","",LDC,"","",CT,HARTFORD,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200070297,"",0070297,70297,"",ATMOS ENERGY - ETHEL - ATTALA CO. MS,"","",LDC,"",1,MS,ATTALA,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200073195,"",0073195,73195,"","Col. Gas - Montgomery Co., KY","","",INT,"",2,KY,MONTGOMERY,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200073894,"",0073894,73894,"","Dominion Energy Transmission, Inc - Taylors Ridge Road","","",INT,"",2,WV,MARSHALL,"",2026-03-23T09:41:40.296409
100,"Algonquin Gas Transmission, LLC",1000000834,"",0000834,00834,"","BELD - Braintree Electric Light  (NORFOLK,MA)","","",END,"","",MA,NORFOLK,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200079611,"",0079611,79611,"",STX PAL POINT OF TRANSACTION,"","",VIR,"",STX,TX,JEFFERSON,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200073714,"",0073714,73714,"",DTM Appalachia Gathering  High Noon,"","",WHD,"",2,PA,GREENE,"",2026-03-23T09:41:40.296409
100,"Algonquin Gas Transmission, LLC",1000000053,"",0000053,00053,"","Norwichtown (NEW LONDON,CT)","","",LDC,"","",CT,NEW LONDON,"",2026-03-23T09:41:40.296409
100,"Algonquin Gas Transmission, LLC",1000000211,"",0000211,00211,"","TETCO - Hanover (MORRIS,NJ)","","",INT,"","",NJ,MORRIS,"",2026-03-23T09:41:40.296409
100,"Algonquin Gas Transmission, LLC",1000087000,"",0087000,87000,"",AGT PAL POINT OF TRANSACTION,"","",VIR,"","",CT,HARTFORD,"",2026-03-23T09:41:40.296409
100,"Algonquin Gas Transmission, LLC",1000000828,"",0000828,00828,"","UConn Mansfield (TOLLAND,CT)","","",LDC,"","",CT,TOLLAND,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200079560,"",0079560,79560,"",SS/X-28 STORAGE POINT,"","",STR,"",3,PA,JUNIATA,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200071706,"",0071706,71706,"","NorAm - Shelby Co., TX  (Receipt)","","",INT,"",ETX,TX,SHELBY,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200072718,"",0072718,72718,"",Smith Oper. (Harvey Broyle M.P. 0.00) - Bienville Psh. La,"","",WHD,"",ETX,LA,BIENVILLE,"",2026-03-23T09:41:40.296409
