Loc,Loc Name,Loc St Abbrev,Loc Cnty,Loc Zone,Dir Flo,Loc Type Ind,PipeCode,GFPipeID,PipeName,GFLocID
N4MA1,(VEC) PEOPLES SMITH ROAD,IL,WILL,M2,D,STA,NXUS,115,"NEXUS Gas Transmission, LLC (U.S.)",11500N4MA1
95002,MARK WEST - LANGLEY PROCESSING,KY,FLOYD,,R,PLT,BSP,103,"Big Sandy Pipeline, LLC",1030095002
73688,RICE POSEIDON MIDSTREAM-WAYNESBURG,PA,GREENE,,R,WHD,TE,120,"Texas Eastern Transmission, LP",1200073688
75917,TETLP/POMELO INTERCONNECT WITH VCP (DEL 73916/REC 73917),TX,NUECES,STX,B,INT,TE,120,"Texas Eastern Transmission, LP",1200075917
N4201,"ACCESS MIDSTREAM CLARKS MILL ROAD-JEFFERSON CO., OH",OH,JEFFERSON,SZ,R,STA,NXUS,115,"NEXUS Gas Transmission, LLC (U.S.)",11500N4201
99825,FALL RIVER GAS,MA,BRISTOL,,D,LDC,AGT,100,"Algonquin Gas Transmission, LLC",1000099825
72655,"ENTERPRISE TEXAS PIPELINE LLC - CALHOUN COUNTY, TX  (REC)",TX,CALHOUN,STX,R,INT,TE,120,"Texas Eastern Transmission, LP",1200072655
72824,"MID LOUISIANA - W. FELECIANA PSH., LA",LA,WEST FELICIANA,ELA,D,INT,TE,120,"Texas Eastern Transmission, LP",1200072824
59179,ORUD KINGSTON,TN,ROANE,,D,LDC,ETNG,105,"East Tennessee Natural Gas, LLC",1050059179
78214,RAMAPO,NY,ROCKLAND,3,R,INT,TE,120,"Texas Eastern Transmission, LP",1200078214
N4GU1,(VEC) GUARDIAN,IL,WILL,M2,D,STA,NXUS,115,"NEXUS Gas Transmission, LLC (U.S.)",11500N4GU1
00631,"SUEZ CAPE ANN, LNG -(ESSEX, MA)",MA,ESSEX,,R,LNG,AGT,100,"Algonquin Gas Transmission, LLC",1000000631
00024,"BROCKTON (PLYMOUTH,MA)",MA,PLYMOUTH,,D,LDC,AGT,100,"Algonquin Gas Transmission, LLC",1000000024
50095,ETNG LOBELVILLE AUCTION POINT,TN,PERRY,,R,STA,ETNG,105,"East Tennessee Natural Gas, LLC",1050050095
80035,LATERAL G-1 SYSTEM MAINLINE,MA,NORFOLK,,D,STA,AGT,100,"Algonquin Gas Transmission, LLC",1000080035
75973,"LLOX/MUD LAKE, JEFFERSON PARISH, LA (D 73974/R73973)",LA,JEFFERSON,ELA,B,INT,TE,120,"Texas Eastern Transmission, LP",1200075973
00053,"NORWICHTOWN (NEW LONDON,CT)",CT,NEW LONDON,,D,LDC,AGT,100,"Algonquin Gas Transmission, LLC",1000000053
79721,"SMYRNA NATURAL GAS SYSTEM, TN - LDC ALLOCATION POI",TN,RUTHERFORD,1,D,LDC,TE,120,"Texas Eastern Transmission, LP",1200079721
35052,XPRESS NAT GAS ELIOT BIDIR ACCT MTR,ME,YORK,,B,INT,MNUS,111,"Maritimes & Northeast Pipeline, L.L.C. (U.S.)",1110035052
99834,YANKEE,CT,NEW HAVEN,,D,LDC,AGT,100,"Algonquin Gas Transmission, LLC",1000099834
75688,REGENCY GAS - BIENVILLE PA. LA-(D72688/R76688),LA,BIENVILLE,ETX,B,INT,TE,120,"Texas Eastern Transmission, LP",1200075688
74536,AH MEDORA LFG DEL.,IN,JACKSON,2,D,END,TE,120,"Texas Eastern Transmission, LP",1200074536
00830,"MARATHON (MIDDLESEX,MA)",MA,MIDDLESEX,,D,LDC,AGT,100,"Algonquin Gas Transmission, LLC",1000000830
71425,"MORGANZA, LA",LA,POINTE COUPEE,ELA,D,LDC,TE,120,"Texas Eastern Transmission, LP",1200071425
79980,UNIONTOWN NORTH,PA,FAYETTE,2,D,STA,TE,120,"Texas Eastern Transmission, LP",1200079980
72798,"HAMILTON, OH",OH,BUTLER,2,D,LDC,TE,120,"Texas Eastern Transmission, LP",1200072798
00023,"NATIONAL GRID- EAST BRAINTREE (NORFOLK,MA)",MA,NORFOLK,,D,LDC,AGT,100,"Algonquin Gas Transmission, LLC",1000000023
N4915,"RICE ENERGY-BAMBINO, MCCLELLAN AVE., GREENE CO., PA",PA,GREENE,SZ,R,STA,NXUS,115,"NEXUS Gas Transmission, LLC (U.S.)",11500N4915
38006,"PNGTS - CUMBERLAND, ME",ME,CUMBERLAND,,R,STA,MNUS,111,"Maritimes & Northeast Pipeline, L.L.C. (U.S.)",1110038006
79960,SUEZ/CHOCTAW,MS,CHOCTAW,1,D,END,TE,120,"Texas Eastern Transmission, LP",1200079960
73646,"ARENA OFFSHORE, LP -EC 328",OF,EAST CAMERON,WLA,R,WHD,TE,120,"Texas Eastern Transmission, LP",1200073646
00630,"SUEZ NEPTUNE LNG -(ESSEX, MA)",MA,ESSEX,,R,LNG,AGT,100,"Algonquin Gas Transmission, LLC",1000000630
70396,"UNITED CITIES - FRANKLIN, TN",TN,WILLIAMSON,1,D,LDC,TE,120,"Texas Eastern Transmission, LP",1200070396
59117,UCG ABINGDON EAST,VA,WASHINGTON,,D,LDC,ETNG,105,"East Tennessee Natural Gas, LLC",1050059117
73391,"ARCADIA OPERATING,LLC- GOLDEN MINER #1 / SAN JACINTO CO., TX (REC)",TX,SAN JACINTO,STX,R,WHD,TE,120,"Texas Eastern Transmission, LP",1200073391
